#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
899.85;0;106;1;5;0/899.85;0/109.29,1/69.62,2/56.51,3/74.02,4/91.3;0/899.85;0/899.85,1/899.85,2/899.85,3/899.85,4/899.85;0/0;0/7,1/12,2/9,3/12,4/12;0/0;0/15,1/18,2/17,3/18,4/20;0/0;0/4,1/4,2/4,3/4,4/4;0/0;0/21,1/19,2/20,3/23,4/23;0/0;0/80,1/84,2/86,3/84,4/82
959.88;0;114;1;5;0/959.88;0/110.84,1/90.54,2/57.98,3/75.68,4/93.15;0/959.88;0/959.88,1/959.88,2/959.88,3/959.88,4/959.88;0/0;0/8,1/11,2/7,3/11,4/14;0/0;0/17,1/16,2/16,3/19,4/19;0/0;0/4,1/4,2/4,3/4,4/4;0/0;0/22,1/20,2/22,3/26,4/24;0/0;0/86,1/88,2/92,3/90,4/88
1019.66;0;122;1;5;0/1019.66;0/112.47,1/92.02,2/59.31,3/84.48,4/94.7;0/1019.66;0/1019.66,1/1019.66,2/1019.66,3/1019.66,4/1019.66;0/0;0/9,1/15,2/7,3/10,4/14;0/0;0/17,1/20,2/14,3/19,4/20;0/0;0/4,1/4,2/4,3/4,4/4;0/0;0/23,1/22,2/23,3/27,4/27;0/0;0/92,1/94,2/98,3/95,4/94
1079.7;0;130;1;5;0/1079.7;0/114.1,1/93.69,2/60.52,3/85.84,4/96.17;0/1079.7;0/1079.7,1/1079.7,2/1079.7,3/1079.7,4/1079.7;0/0;0/10,1/13,2/8,3/10,4/10;0/0;0/18,1/18,2/14,3/16,4/18;0/0;0/4,1/4,2/4,3/4,4/4;0/0;0/25,1/25,2/24,3/28,4/28;0/0;0/98,1/100,2/104,3/101,4/100
1139.99;0;137;1;5;0/1139.99;0/115.9,1/94.96,2/62.25,3/87.36,4/97.51;0/1139.99;0/1139.99,1/1139.99,2/1139.99,3/1139.99,4/1139.99;0/0;0/8,1/11,2/15,3/11,4/11;0/0;0/14,1/17,2/21,3/17,4/19;0/0;0/4,1/4,2/4,3/4,4/4;0/0;0/26,1/27,2/26,3/29,4/29;0/0;0/104,1/106,2/110,3/107,4/106
1199.99;0;142;1;5;0/1199.99;0/117.02,1/97.46,2/86.38,3/88.81,4/98.92;0/1199.99;0/1199.99,1/1199.99,2/1199.99,3/1199.99,4/1199.99;0/0;0/9,1/12,2/11,3/11,4/10;0/0;0/16,1/23,2/20,3/18,4/20;0/0;0/4,1/4,2/4,3/4,4/4;0/0;0/27,1/28,2/27,3/30,4/30;0/0;0/110,1/112,2/114,3/113,4/112
1259.95;0;151;1;5;0/1259.95;0/117.84,1/98.54,2/87.67,3/89.43,4/100.13;0/1259.95;0/1259.95,1/1259.95,2/1259.95,3/1259.95,4/1259.95;0/0;0/7,1/11,2/8,3/11,4/9;0/0;0/14,1/19,2/18,3/18,4/17;0/0;0/4,1/4,2/4,3/4,4/4;0/0;0/29,1/29,2/29,3/32,4/32;0/0;0/116,1/118,2/119,3/119,4/118
1319.65;0;157;1;5;0/1319.65;0/119.57,1/99.49,2/88.53,3/90.78,4/101.7;0/1319.65;0/1319.65,1/1319.65,2/1319.65,3/1319.65,4/1319.65;0/0;0/9,1/12,2/8,3/10,4/7;0/0;0/21,1/18,2/19,3/17,4/16;0/0;0/4,1/4,2/4,3/4,4/4;0/0;0/31,1/30,2/30,3/33,4/33;0/0;0/122,1/124,2/125,3/125,4/124
1379.88;0;163;1;5;0/1379.88;0/121.04,1/100.98,2/89.64,3/92.03,4/103.68;0/1379.88;0/1379.88,1/1379.88,2/1379.88,3/1379.88,4/1379.88;0/0;0/10,1/12,2/7,3/8,4/6;0/0;0/21,1/17,2/17,3/16,4/15;0/0;0/4,1/4,2/4,3/4,4/4;0/0;0/32,1/31,2/31,3/35,4/34;0/0;0/128,1/130,2/131,3/131,4/130
1439.77;0;169;1;5;0/1439.77;0/121.83,1/102.39,2/91.09,3/93.35,4/104.83;0/1439.77;0/1439.77,1/1439.77,2/1439.77,3/1439.77,4/1439.77;0/0;0/8,1/12,2/7,3/7,4/7;0/0;0/15,1/17,2/16,3/15,4/15;0/0;0/4,1/4,2/4,3/4,4/4;0/0;0/33,1/33,2/32,3/36,4/35;0/0;0/134,1/136,2/137,3/137,4/136
1499.96;0;180;1;5;0/1499.96;0/123.3,1/111.32,2/92.21,3/95.79,4/107.04;0/1499.96;0/1499.96,1/1499.96,2/1499.96,3/1499.96,4/1499.96;0/0;0/8,1/10,2/8,3/8,4/11;0/0;0/16,1/17,2/17,3/17,4/20;0/0;0/4,1/4,2/4,3/4,4/4;0/0;0/35,1/36,2/34,3/38,4/37;0/0;0/140,1/141,2/143,3/143,4/142
1559.89;0;186;1;5;0/1559.89;0/123.99,1/112.22,2/93.29,3/97.43,4/108.33;0/1559.89;0/1559.89,1/1559.89,2/1559.89,3/1559.89,4/1559.89;0/0;0/7,1/10,2/7,3/8,4/9;0/0;0/13,1/17,2/17,3/16,4/19;0/0;0/4,1/4,2/4,3/4,4/4;0/0;0/36,1/37,2/35,3/39,4/39;0/0;0/146,1/147,2/149,3/149,4/148
1619.92;0;192;1;5;0/1619.92;0/125.93,1/113.29,2/94.89,3/99.01,4/109.01;0/1619.92;0/1619.92,1/1619.92,2/1619.92,3/1619.92,4/1619.92;0/0;0/10,1/11,2/9,3/10,4/8;0/0;0/16,1/17,2/19,3/18,4/15;0/0;0/4,1/4,2/4,3/4,4/4;0/0;0/37,1/38,2/36,3/41,4/40;0/0;0/152,1/153,2/155,3/155,4/154
1679.99;0;201;1;5;0/1679.99;0/127.89,1/114.45,2/96.35,3/100.05,4/110.58;0/1679.99;0/1679.99,1/1679.99,2/1679.99,3/1679.99,4/1679.99;0/0;0/11,1/9,2/11,3/10,4/8;0/0;0/18,1/18,2/18,3/16,4/16;0/0;0/4,1/4,2/4,3/4,4/4;0/0;0/40,1/41,2/37,3/42,4/41;0/0;0/158,1/159,2/161,3/160,4/159
1739.99;0;209;1;5;0/1739.99;0/131.82,1/115.57,2/98.03,3/101.02,4/111.85;0/1739.99;0/1739.99,1/1739.99,2/1739.99,3/1739.99,4/1739.99;0/0;0/9,1/8,2/9,3/8,4/10;0/0;0/15,1/15,2/16,3/17,4/15;0/0;0/4,1/4,2/4,3/4,4/4;0/0;0/41,1/42,2/40,3/44,4/42;0/0;0/164,1/165,2/167,3/166,4/165
1799.72;0;217;1;5;0/1799.72;0/132.64,1/116.91,2/99.53,3/102.72,4/121.4;0/1799.72;0/1799.72,1/1799.72,2/1799.72,3/1799.72,4/1799.72;0/0;0/11,1/8,2/7,3/10,4/9;0/0;0/17,1/13,2/14,3/17,4/13;0/0;0/4,1/4,2/4,3/4,4/4;0/0;0/42,1/43,2/42,3/45,4/45;0/0;0/169,1/171,2/173,3/172,4/170
