W2,W3,ItemPileOneAvg,,DistanceTraveled,,OrderTurnoverTimeAvg,,OrdersHandled,
,,Mean,SD,Mean,SD,Mean,SD,Mean,SD
""
Total,,7.71,0.56,5011.12,123.88,457.38,17.06,487.15,17.98,225
""
0.05,0.05,8.27,0.26,4950.58,87.62,462.51,19.93,502.67,17.89
0.05,0.213,7.3,0.46,5080.81,86.58,443.72,17.58,479.11,14.89
0.05,0.377,7.54,0.27,4999.93,107.54,447.46,18.15,485.56,10.3
0.05,0.54,7.29,0.24,5057.49,159.19,455.58,17.85,475.22,10.69
0.198,0.05,7.15,0.19,5107.06,60.54,455.22,15.3,473.0,10.98
0.198,0.213,7.27,0.43,5070.58,128.95,457.5,14.71,473.67,17.86
0.198,0.377,7.43,0.37,5025.76,80.94,452.37,16.47,478.11,14.44
0.198,0.54,7.62,0.42,5020.38,112.79,461.65,10.48,482.33,12.88
0.346,0.05,7.38,0.32,5066.42,88.3,460.53,15.75,477.67,10.89
0.346,0.213,7.43,0.28,5046.68,66.98,461.82,18.3,476.44,12.5
0.346,0.377,7.6,0.32,5058.69,79.71,468.88,13.69,484.78,12.54
0.346,0.54,7.69,0.39,5056.05,70.0,454.26,9.9,488.56,16.69
0.494,0.05,7.65,0.19,5014.07,97.9,454.31,19.98,484.22,8.21
0.494,0.213,7.54,0.38,5054.28,133.88,452.17,22.34,484.0,12.29
0.494,0.377,7.75,0.43,5041.59,109.2,464.27,12.1,490.78,17.89
0.494,0.54,7.89,0.62,4980.14,119.21,455.21,12.92,492.67,17.43
0.642,0.05,7.54,0.41,5068.11,87.28,463.47,24.72,479.33,17.03
0.642,0.213,7.42,0.29,5036.01,81.4,469.47,24.05,474.78,8.48
0.642,0.377,8.12,0.39,4923.8,84.69,456.31,18.54,498.78,12.74
0.642,0.54,8.29,0.54,4866.77,110.69,451.45,20.7,506.89,15.85
0.79,0.05,7.33,0.34,5090.87,88.75,455.93,17.21,475.78,10.95
0.79,0.213,7.58,0.27,5102.43,91.51,452.48,17.82,487.56,9.95
0.79,0.377,8.48,0.37,4905.68,88.69,462.61,8.04,508.0,14.47
0.79,0.54,8.22,0.51,4873.3,77.05,458.38,10.8,500.22,17.39
1.0,1.0,8.88,0.5,4780.56,99.01,457.05,10.75,518.67,16.72
""
