Tag;Instance;Setting;Config;Seed;Timestamp
<<<<<<< HEAD
1, 0.05, 0.05, 0.164, 0.425, 0.725;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xinst;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xsett;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xconf;1;20240613-095331
1, 0.05, 0.05, 0.164, 0.425, 0.725;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xinst;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xsett;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xconf;2;20240613-095332
1, 0.05, 0.05, 0.164, 0.425, 0.725;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xinst;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xsett;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xconf;3;20240613-095334
1, 0.05, 0.05, 0.185, 0.358, 0.612;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xinst;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xsett;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xconf;1;20240613-095335
1, 0.05, 0.05, 0.185, 0.358, 0.612;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xinst;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xsett;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xconf;2;20240613-095337
1, 0.05, 0.05, 0.185, 0.358, 0.612;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xinst;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xsett;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xconf;3;20240613-095339
1, 0.05, 0.05, 0.18, 0.4, 0.6;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xinst;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xsett;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xconf;1;20240613-095340
1, 0.05, 0.05, 0.18, 0.4, 0.6;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xinst;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xsett;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xconf;2;20240613-095342
1, 0.05, 0.05, 0.18, 0.4, 0.6;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xinst;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xsett;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xconf;3;20240613-095344
1, 0.05, 0.21333333333333337, 0.1, 1.0, 0.5;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xinst;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xsett;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xconf;1;20240613-095345
1, 0.05, 0.21333333333333337, 0.1, 1.0, 0.5;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xinst;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xsett;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xconf;2;20240613-095347
1, 0.05, 0.21333333333333337, 0.1, 1.0, 0.5;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xinst;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xsett;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xconf;3;20240613-095349
1, 0.05, 0.21333333333333337, 0.1, 1.0, 0.5;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xinst;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xsett;..\..\..\..\Material\Instances\0.Weighted30min Demand separate\Dd\Weighted2.xconf;1;20240613-095351
