Xa,Xb,Xc,OrdersHandled
0.45,0.3415,0.20833333333333334,473.6666666666667
0.4766666666666666,0.3585,0.16666666666666666,480.22222222222223
0.5266666666666667,0.229,0.24566666666666667,476.44444444444446
0.5,0.1665,0.3333333333333333,479.77777777777777
0.3333333333333333,0.5,0.16666666666666666,479.962962962963
0.46333333333333343,0.20400000000000001,0.3333333333333333,477.6666666666667
0.38000000000000006,0.2875,0.3333333333333333,473.0
0.5666666666666667,0.1665,0.26666666666666666,481.1666666666667
0.6666666666666666,0.1665,0.16666666666666666,508.5925925925926
0.5833333333333334,0.25,0.16666666666666666,486.6666666666667
0.5633333333333334,0.171,0.26666666666666666,484.0
0.6433333333333333,0.1915,0.16666666666666666,492.6666666666667
0.6,0.2,0.2,493.3333333333333
0.6366666666666667,0.1915,0.17066666666666666,490.77777777777777
0.66,0.1665,0.175,503.3888888888889
0.5466666666666667,0.2125,0.24166666666666667,508.0
0.6166666666666667,0.179,0.20400000000000001,506.6666666666667
