# W2 W3 ItemPileOneAvg OrdersHandled DistanceTraveled TripCount OrderThroughputTimeAvg OrderTurnoverTimeAvg OrderPileOneAvg 
0.05 0.05 8.47777777777778 495 4921.742478421216 281 84.09893503423704 487.4129477653874 5.385663082437276
0.55 0.55 8.427755376344086 526 4886.045471414352 293 87.92490539133448 461.7549417311319 5.534274193548387
1.05 1.05 8.223314741341307 503 4864.70152688196 306 91.12841995838332 453.5336110781779 5.15336476721676
1.55 1.55 8.000336021505376 496 4965.595989934435 294 94.31288185514796 448.56371480514787 5.224126344086021
2.05 2.05 8.329301075268818 525 4881.01248835635 292 84.95245910027992 441.18197902100496 5.529569892473119
2.55 2.55 8.529769328434512 499 5035.833777625598 286 94.00861025173447 448.0369207429175 5.408759452140988
3.05 3.05 7.801869501466276 486 5091.722937770434 296 97.64451387749706 454.53932319755745 5.0741894753991525
3.55 3.55 8.549206349206349 520 4862.735418175272 295 88.55447612061289 501.80408558074646 5.544444444444444
4.05 4.05 8.047754585705249 474 5045.834746855914 292 97.60180424785062 465.7705523929116 5.142992680943345
0.05 0.21333333333333337 7.71961405529954 480 4979.953685556952 307 86.40569074567208 452.51606557847236 4.916599462365592
0.55 0.7133333333333334 7.785600255427842 500 4942.588574035084 300 91.91089350483006 427.4687329519337 5.2128033205619415
1.05 1.2133333333333334 6.670868347338936 457 5223.484938888882 320 105.83018662582151 428.6755248570028 4.3999999999999995
1.55 1.7133333333333334 6.981617647058823 473 5059.956093128797 320 93.96092336662784 432.9425704737756 4.573303663570691
2.05 2.2133333333333334 6.75093795093795 465 5152.624551415118 321 96.79825919494682 479.0150206269431 4.527272727272727
2.55 2.7133333333333334 7.332107843137255 480 5109.885245866776 306 101.51881766968941 460.13822039483597 4.810661764705883
3.05 3.2133333333333334 7.0755878108819275 470 5036.63136635801 315 88.57138383635572 438.50438504055546 4.620337832102538
3.55 3.7133333333333334 7.4974789915966396 486 5118.6460707478145 306 97.15665058735364 428.1737655756279 4.959197012138189
