# sku probability
10 0.009509198194154383
9 0.011316593653173076
8 0.02498940750006302
7 0.0260606327126379
6 0.030822376827900448
5 0.03323828746985763
4 0.07031335126018136
3 0.18709105415138982
2 0.29610524252753345
1 0.31055385570310884
