#TimeStamp;InventoryLevel;ContainedSKUCount;InvCombinedTotal;InvCombinedRank;InvCombinedAvgRank;InvSpeedTotal;InvSpeedRank;InvSpeedAvgRank;InvUtilityTotal;InvUtilityRank;InvUtilityAvgRank
0;0.97;100;0;0;0;0;0;0;0;0;0
599.98;0.74;100;0;0;0;0;0;0;0;0;0
1199.95;0.53;122;0;0;0;0;0;0;0;0;0
1799.71;0.36;168;0;0;0;0;0;0;0;0;0
2399.82;0.22;210;0;0;0;0;0;0;0;0;0
2999.68;0.11;249;0;0;0;0;0;0;0;0;0
3599.89;0.07;284;0;0;0;0;0;0;0;0;0
4199.99;0.09;310;0;0;0;0;0;0;0;0;0
4799.92;0.13;338;0;0;0;0;0;0;0;0;0
5399.84;0.18;364;0;0;0;0;0;0;0;0;0
5999.72;0.22;391;0;0;0;0;0;0;0;0;0
6599.63;0.27;420;0;0;0;0;0;0;0;0;0
7199.85;0.31;445;0;0;0;0;0;0;0;0;0
7799.83;0.36;464;0;0;0;0;0;0;0;0;0
8399.96;0.4;484;0;0;0;0;0;0;0;0;0
8999.65;0.45;505;0;0;0;0;0;0;0;0;0
9599.75;0.49;524;0;0;0;0;0;0;0;0;0
10199.84;0.54;548;0;0;0;0;0;0;0;0;0
10799.87;0.59;562;0;0;0;0;0;0;0;0;0
11399.62;0.55;576;0;0;0;0;0;0;0;0;0
11999.79;0.41;595;0;0;0;0;0;0;0;0;0
12599.99;0.28;606;0;0;0;0;0;0;0;0;0
13199.72;0.18;615;0;0;0;0;0;0;0;0;0
13799.82;0.1;625;0;0;0;0;0;0;0;0;0
14399.96;0.07;636;0;0;0;0;0;0;0;0;0
14999.76;0.1;644;0;0;0;0;0;0;0;0;0
15599.91;0.14;653;0;0;0;0;0;0;0;0;0
16199.75;0.19;665;0;0;0;0;0;0;0;0;0
16799.84;0.23;679;0;0;0;0;0;0;0;0;0
17399.98;0.28;685;0;0;0;0;0;0;0;0;0
17999.66;0.33;692;0;0;0;0;0;0;0;0;0
18599.96;0.37;701;0;0;0;0;0;0;0;0;0
19199.84;0.42;713;0;0;0;0;0;0;0;0;0
19799.87;0.46;714;0;0;0;0;0;0;0;0;0
20399.7;0.51;719;0;0;0;0;0;0;0;0;0
20999.98;0.55;725;0;0;0;0;0;0;0;0;0
21599.9;0.6;732;0;0;0;0;0;0;0;0;0
22199.97;0.5;739;0;0;0;0;0;0;0;0;0
22799.99;0.36;742;0;0;0;0;0;0;0;0;0
23399.74;0.25;746;0;0;0;0;0;0;0;0;0
23999.98;0.16;754;0;0;0;0;0;0;0;0;0
24599.65;0.09;758;0;0;0;0;0;0;0;0;0
25199.94;0.06;760;0;0;0;0;0;0;0;0;0
25799.99;0.1;765;0;0;0;0;0;0;0;0;0
26399.97;0.15;768;0;0;0;0;0;0;0;0;0
26999.96;0.19;774;0;0;0;0;0;0;0;0;0
27599.97;0.24;775;0;0;0;0;0;0;0;0;0
28199.72;0.28;778;0;0;0;0;0;0;0;0;0
28799.87;0.33;781;0;0;0;0;0;0;0;0;0
