#TimeStamp;DistanceTraveled
59.73;711.27
119.91;396.98
179.99;333.64
239.94;365.82
299.94;552.92
359.96;452.16
419.97;370.57
479.86;459.43
539.91;545.92
599.98;468.96
659.98;502.64
719.72;391.77
779.98;362.7
839.83;423.52
899.69;515.87
959.88;428.07
1019.94;386.75
1079.91;537.68
1139.96;370.89
1199.95;430.49
1259.79;388.76
1319.97;418.56
1379.72;391.78
1440;366.61
1499.97;443.59
1560;394.19
1619.63;514.66
1679.97;420.75
1739.86;521.45
1799.71;363.76
1859.97;540.12
1919.97;509.61
1979.7;611.85
2039.95;569.18
2099.71;598
2159.74;551.91
2219.98;419.77
2279.89;576.34
2340;633.85
2399.82;430.97
2459.69;505.07
2519.91;458.31
2579.69;518.06
2639.97;615.29
2699.85;605.01
2760;607.86
2819.79;618.62
2879.96;656
2939.87;633.13
2999.68;599.17
3059.79;564.21
3119.98;652.54
3179.81;600.47
3239.94;636.87
3299.59;659.81
3359.92;739.91
3419.62;647.31
3479.97;629.58
3539.98;739.68
3599.89;723.12
3659.62;667.41
3719.83;695.05
3779.8;638.11
3839.79;444.14
3899.96;268.71
3959.92;170.77
4019.91;119.39
4079.84;98.31
4139.98;73.25
4199.99;125.1
4259.85;97.53
4319.69;59.06
4379.68;99.36
4439.97;83
4499.81;84
4559.77;94.2
4619.89;83.8
4679.88;105.49
4739.91;117.76
4799.92;86.34
4859.98;82.03
4919.99;108.35
4979.64;57.08
5039.99;74.58
5099.86;99.46
5159.96;81.05
5219.78;81.91
5279.68;73.23
5339.84;100.03
5399.84;110.53
5459.89;84.16
5519.95;74
5579.81;82
5640;76.96
5699.73;74.77
5759.7;108.57
5819.74;83.08
5879.94;99.61
5939.85;79.83
5999.72;109.16
6060;117.44
6119.93;96.46
6179.98;88.1
6239.81;88.9
6299.83;89.73
6359.72;104.87
6419.97;77.1
6479.97;80.4
6539.86;77.59
6599.63;92.41
6659.84;96.63
6719.81;76.8
6779.82;106.17
6839.97;99.47
6899.97;74.29
6959.79;84.9
7019.89;99.73
7079.96;97.18
7139.99;80.79
7199.85;112.32
7259.65;101.41
7319.9;98.78
7379.94;70.83
7439.97;90.73
7499.89;89.43
7559.99;105.55
7619.9;105.98
7679.96;110
7739.96;105.17
7799.83;87.83
7859.67;78.51
7919.78;106.33
7979.78;102.46
8039.8;126.99
8099.98;66.02
8159.92;94.03
8219.89;97.66
8279.58;93
8339.72;115
8399.96;85.24
8459.82;94.76
8519.98;90
8579.59;84.76
8639.85;132.89
8699.86;98.46
8759.69;86.81
8819.94;87.96
8879.65;73.41
8939.87;92.27
8999.65;122.77
9059.98;103.66
9119.97;105.37
9179.8;97.4
9239.82;96.51
9299.84;112.8
9359.92;97.28
