# SectorTime BundlesBacklogLevel
0 89.45161290322581
0.016591666666666668 89.45161290322581
0.033325 96.15151515151516
0.049994444444444446 99.20588235294117
0.0666 99.20588235294117
0.08332777777777778 104.80555555555556
0.09995 107.37837837837837
0.116625 109.8157894736842
0.13324444444444444 109.8157894736842
0.1498861111111111 112.12820512820512
0.16663611111111112 114.325
0.18326666666666666 116.41463414634147
0.19998055552777777 120.30232558139535
0.21663333333333334 120.30232558139535
0.23326944444444445 122.11363636363636
0.2499361111111111 123.84444444444445
0.26663888888888887 127.08510638297872
0.2833111111111111 127.08510638297872
0.29995555555555553 130.0612244897959
0.31664722222222225 131.46
0.33329722219444446 131.46
0.3499888888888889 134.09615384615384
0.3666638888888889 135.33962264150944
0.38333055555555556 136.53703703703704
0.39994444444444444 137.6909090909091
0.41664444444444443 138.80357142857142
0.43326944444444443 138.80357142857142
0.4499111111111111 139.87719298245614
0.4666527777777778 140.91379310344828
0.4833222222222222 142.88333333333333
0.49990277777777775 142.88333333333333
0.5166055555555555 149.55
0.5332944444444444 150.37704918032787
0.5499861111111111 153.65573770491804
0.5666472222222222 159.55
0.5833277777777778 160.21311475409837
0.5999333333333333 162.88333333333333
0.6165944444166667 166.21666666666667
0.6333027777777778 172.88333333333333
0.6499611111111111 175.8135593220339
0.6666555555555556 179.55
0.6833249999722222 182.88333333333333
0.6999527777777778 182.88333333333333
0.7166527777777778 189.55
0.7332777777777778 190.23728813559322
0.7499416666666666 191.25
0.7665888888611111 191.39344262295083
0.7833305555277777 193.25
0.79995 193.36065573770492
0.8166027777777778 194.4
0.8333055555555555 197
0.8499833333333333 197
0.8665805555555556 198.47540983606558
0.8832722222222222 200
0.89992777775 200
0.916625 200
0.9333305555277778 200
0.94995 200
0.9666583333333333 200
0.9832972222222223 200
0.9999722222222223 200
1.0165944444444444 200
1.0332805555555555 200
1.04995 200
1.066638888888889 200
1.0832305555555555 200
1.0999972222222223 200
1.1166277777777778 200
1.1332222222222221 200
1.1499777777777778 200
1.1666361111111112 200
1.1832583333055555 200
1.1999916666666666 200
