#TimeStamp;TripTime;Type
37;20;O
39;16;O
40;11;O
45;8;O
70;14;O
76;24;O
152;22;O
156;19;O
162;17;O
234;24;O
236;16;O
254;14;O
295;25;O
296;20;O
306;20;O
320;23;O
335;28;O
390;18;O
400;37;O
429;22;O
443;29;O
473;30;O
483;21;O
500;16;O
541;32;O
553;7;O
553;32;O
594;26;O
608;26;O
611;35;O
636;22;O
651;21;O
686;18;O
700;14;O
710;19;O
722;27;O
759;27;O
770;15;O
807;13;O
837;29;O
860;21;O
877;13;O
884;19;O
886;16;O
940;13;O
942;20;O
987;14;O
989;20;O
993;24;O
1017;17;O
1054;30;O
1073;20;O
1096;21;O
1107;30;O
1139;21;O
1145;7;O
1160;17;O
1211;15;O
1220;19;O
1247;20;O
1261;33;O
1264;14;O
1304;20;O
1315;54;O
1347;18;O
1347;14;O
1352;27;O
1359;39;O
1390;20;O
1411;21;O
1426;26;O
1457;20;O
1471;24;O
1474;26;O
1491;18;O
1507;23;O
1515;26;O
1531;24;O
1559;25;O
1564;22;O
1581;24;O
1604;7;O
1638;34;O
1640;13;O
1643;18;O
1679;22;O
1680;25;O
1693;30;O
1705;18;O
1718;20;O
1734;13;O
1754;16;O
1762;18;O
1775;19;O
1795;13;O
1799;25;O
