#TimeStamp;InventoryLevel;ContainedSKUCount;InvCombinedTotal;InvCombinedRank;InvCombinedAvgRank;InvSpeedTotal;InvSpeedRank;InvSpeedAvgRank;InvUtilityTotal;InvUtilityRank;InvUtilityAvgRank
0;0.6;100;0;0;0;0;0;0;0;0;0
599.92;0.44;100;0;0;0;0;0;0;0;0;0
1199.62;0.31;100;0;0;0;0;0;0;0;0;0
1799.77;0.17;100;0;0;0;0;0;0;0;0;0
