Instance;Setting;Controller;Tag;PP;TA;SA;IS;PS;RP;OB;RB;MM;Warmup;Duration;NTiers;NBots;NPods;NIStations;NOStations;BotsPerStation;BotsPerISTation;BotsPerOStation;IStationCapacityAvg;OStationCapacityAvg;SKUs;BundlesPlaced;OrdersPlaced;BundlesRejected;OrdersRejected;BundlesInBacklogRemaining;OrdersInBacklogRemaining;BundlesInBacklogAvg;OrdersInBacklogAvg;BundlesHandled;ItemsHandled;LinesHandled;OrdersHandled;UnitsHandled;Collisions;FailedReservations;PathPlanningTimeouts;PathPlanningTimeoutFractional;DistanceTraveled;DistanceTraveledPerBot;DistanceEstimated;DistanceRequestedOptimal;TimeMoving;TimeQueueing;TripDistance;TripTime;TripTimeWithoutQueueing;TripCount;LastMileTripOStationCount;LastMileTripOStationTimeAvg;LastMileTripIStationCount;LastMileTripIStationTimeAvg;OverallAssignedTasks;OverallPodsHandledAtIStations;OverallPodsHandledAtOStations;PodsHandledAtIStationsFractional;PodsHandledAtOStationsFractional;PodsHandledPerIStationPerHour;PodsHandledPerOStationPerHour;RepositioningMoves;PodsHandledPerIStationAvg;PodsHandledPerIStationVar;PodsHandledPerOStationAvg;PodsHandledPerOStationVar;InventoryLevelAvg;InventoryLevelLQ;InventoryLevelUQ;StorageLocationRanks;InvCombinedTotal;InvCombinedRank;InvCombinedAvgRank;InvSpeedTotal;InvSpeedRank;InvSpeedAvgRank;InvUtilityTotal;InvUtilityRank;InvUtilityAvgRank;BundleGenerationStops;OrderGenerationStops;MemoryUsedMax;RealTimeUsed;BundleThroughputRate;ItemThroughputRate;ItemThroughputRateUB;ItemThroughputRateScore;LineThroughputRate;OrderThroughputRate;OrderTurnoverTimeAvg;OrderTurnoverTimeMed;OrderTurnoverTimeLQ;OrderTurnoverTimeUQ;OrderThroughputTimeAvg;OrderThroughputTimeMed;OrderThroughputTimeLQ;OrderThroughputTimeUQ;BundleTurnoverTimeAvg;BundleTurnoverTimeMed;BundleTurnoverTimeLQ;BundleTurnoverTimeUQ;BundleThroughputTimeAvg;BundleThroughputTimeMed;BundleThroughputTimeLQ;BundleThroughputTimeUQ;OrderLatenessAvg;OrderLatenessMed;OrderLatenessLQ;OrderLatenessUQ;OrderOffsetAvg;OrderOffsetMed;OrderOffsetLQ;OrderOffsetUQ;LateOrdersCount;OnTimeOrdersCount;LateOrdersFractional;LateOrdersRate;OnTimeOrdersRate;ItemPileOneAvg;ItemPileOneMed;ItemPileOneLQ;ItemPileOneUQ;InjectedItemPileOneAvg;InjectedItemPileOneMed;InjectedItemPileOneLQ;InjectedItemPileOneUQ;OrderPileOneAvg;OrderPileOneMed;OrderPileOneLQ;OrderPileOneUQ;BundlePileOneAvg;BundlePileOneMed;BundlePileOneLQ;BundlePileOneUQ;InjectedBundlePileOneAvg;InjectedBundlePileOneMed;InjectedBundlePileOneLQ;InjectedBundlePileOneUQ;OSIdleTimeAvg;OSIdleTimeMed;OSIdleTimeLQ;OSIdleTimeUQ;ISIdleTimeAvg;ISIdleTimeMed;ISIdleTimeLQ;ISIdleTimeUQ;OSUpTimeAvg;OSUpTimeMed;OSUpTimeLQ;OSUpTimeUQ;ISUpTimeAvg;ISUpTimeMed;ISUpTimeLQ;ISUpTimeUQ;OSDownTimeAvg;OSDownTimeMed;OSDownTimeLQ;OSDownTimeUQ;ISDownTimeAvg;ISDownTimeMed;ISDownTimeLQ;ISDownTimeUQ;TaskCountNone;TaskTimeNone;TaskCountParkPod;TaskTimeParkPod;TaskCountRepositionPod;TaskTimeRepositionPod;TaskCountInsert;TaskTimeInsert;TaskCountExtract;TaskTimeExtract;TaskCountRest;TaskTimeRest;TaskTimeBusyAvg;TaskTimeBusyAvgFractional;StateCountPickup;StateTimePickup;StateCountSetdown;StateTimeSetdown;StateCountGet;StateTimeGet;StateCountPut;StateTimePut;StateCountRest;StateTimeRest;StateCountMove;StateTimeMove;StateCountEvade;StateTimeEvade;StateCountElevator;StateTimeElevator;TimingDecisionsOverall;TimingPathPlanningAvg;TimingPathPlanningOverall;TimingPathPlanningCount;TimingTaskAllocationAvg;TimingTaskAllocationOverall;TimingTaskAllocationCount;TimingItemStorageAvg;TimingItemStorageOverall;TimingItemStorageCount;TimingPodStorageAvg;TimingPodStorageOverall;TimingPodStorageCount;TimingRepositioningAvg;TimingRepositioningOverall;TimingRepositioningCount;TimingReplenishmentBatchingAvg;TimingReplenishmentBatchingOverall;TimingReplenishmentBatchingCount;TimingOrderBatchingAvg;TimingOrderBatchingOverall;TimingOrderBatchingCount;CustomLogPPString;CustomLogPP1;CustomLogPP2;CustomLogPP3;CustomLogPP4;CustomLogTAString;CustomLogTA1;CustomLogTA2;CustomLogTA3;CustomLogTA4;CustomLogPCString;CustomLogPC1;CustomLogPC2;CustomLogPC3;CustomLogPC4;CustomLogSAString;CustomLogSA1;CustomLogSA2;CustomLogSA3;CustomLogSA4;CustomLogISString;CustomLogIS1;CustomLogIS2;CustomLogIS3;CustomLogIS4;CustomLogPSString;CustomLogPS1;CustomLogPS2;CustomLogPS3;CustomLogPS4;CustomLogRPString;CustomLogRP1;CustomLogRP2;CustomLogRP3;CustomLogRP4;CustomLogOBString;CustomLogOB1;CustomLogOB2;CustomLogOB3;CustomLogOB4;CustomLogRBString;CustomLogRB1;CustomLogRB2;CustomLogRB3;CustomLogRB4;CustomLogMMString;CustomLogMM1;CustomLogMM2;CustomLogMM3;CustomLogMM4;TagSetting1;TagSetting2;TagSetting3;TagControl1;TagControl2;TagControl3
LargeScenarioBase;LargeScenarioBase20min;LargeScenarioBase;n.a.;ppFARP2tt;taBA120fft9wcwwm;saAA;isEt0.8;psNt;rpD;obPMy;rbSPdf;mmNC;0;1800;1;20;203;1;5;3.3333333333333335;20;4;0.1;12;1000;200;526;0;0;200;155;109.6774193548387;196.5483870967742;0;865;819;516;865;0;97;0;0;12257.203275799133;612.8601637899567;11953;12667;586.9787709019838;706.0522002271252;20.293382906952207;44.20633254187302;20.827120613822512;604;207;27.43845306108928;0;0;430;0;195;0;1;0;78;0;0;0;0;1.6;0.6182266009852218;0.5016420361247947;0.9688013136288999;0;0;0;0;0;0;0;0;0;0;0;0;89.796875;5.0063833;0;1730;1800;0.9611111111111111;1638;1032;501.42620952833187;373.1334343176683;190.5240764717143;726.3273303994813;154.35464991226445;121.27870849898574;60.24778497070042;181.58564934696938;0;0;0;0;0;0;0;0;0;0;0;0;-10117.389597616135;-10051.43106683988;-10541.212786262513;-9555.102423838984;0;516;0;0;1032;4.441129653401797;4.526315789473684;4.3;4.578947368421052;2.962676508344031;2.973684210526316;2.875;2.973684210526316;2.6476187419768933;2.6341463414634148;2.6052631578947367;2.710526315789474;0;0;0;0;0;0;0;0;0.055804224030875905;0.058684539928754165;0.0533281305339573;0.06053787089594051;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;8.4;195;4108.734589153138;0;0;0;0;213;31141.349524416866;22;209.92194804090522;1762.5042056784998;0.9791690031547221;209;467.6527705848741;194;432.91735226167134;0;0;200;7733.636811091952;22;193.0222368914891;624;26641.176890780924;0;0;0;0;5.0138929999999835;0.00022412153960029612;0.30278820000000006;1351;0.007298123255813958;3.138193000000002;430;4.2613365155131205E-06;0.003570999999999995;838;0.006779078974358975;1.3219204;195;0.006779078974358975;1.3219204;195;0.0020898333333333333;0.0062695;3;0.00027739171461449934;0.24105339999999995;869;;NaN;NaN;NaN;NaN;;NaN;NaN;NaN;NaN;PForO_-6.253521126760563_8.939227960354721_34.70500782472613;-6.253521126760563;8.939227960354721;34.70500782472613;NaN;;NaN;NaN;NaN;NaN;;NaN;NaN;NaN;NaN;;NaN;NaN;NaN;NaN;;NaN;NaN;NaN;NaN;1.1113801452784504_-10928.24079402121;NaN;1.1113801452784504;NaN;NaN;;NaN;NaN;NaN;NaN;;NaN;NaN;NaN;NaN;;;;;;
LargeScenarioBase;LargeScenarioBase20min;LargeScenarioBase;n.a.;ppFARP2tt;taBA120fft9wcwwm;saAA;isEt0.8;psNt;rpD;obPMy;rbSPdf;mmNC;0;1800;1;20;203;1;5;3.3333333333333335;20;4;0.1;12;1000;200;519;0;0;200;148;103.2258064516129;196.03225806451613;0;857;810;515;857;0;121;0;0;12467.174578828532;623.3587289414265;12077;12677;595.8062918181424;692.6792640828817;20.918078152396866;44.9189757715011;21.674705164692995;596;204;28.770518595533673;0;0;425;0;192;0;1;0;76.8;0;0;0;0;1.0399999999999998;0.6217159277504106;0.5057471264367817;0.9688013136288999;0;0;0;0;0;0;0;0;0;0;0;0;128.71875;4.6142373;0;1714;1800;0.9522222222222222;1620;1030;528.7286764151039;390.17259019495276;192.2645382358579;757.1797114328349;161.48699670898702;127.03388888888827;60.17417026312694;181.67444444444538;0;0;0;0;0;0;0;0;0;0;0;0;-10087.76897989652;-10024.047336118832;-10560.561486128838;-9541.429051242672;0;515;0;0;1030;4.4672077543130175;4.410256410256411;4.368421052631579;4.552631578947368;2.9716575482364957;2.9210526315789473;2.8947368421052633;3.051282051282051;2.6843567859357336;2.65;2.6052631578947367;2.710526315789474;0;0;0;0;0;0;0;0;0.062402020159081396;0.05793000636221737;0.057853278703411094;0.06431740030894108;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;8.4;192;4147.918600321726;0;0;0;0;211;31089.012649943998;22;209.92194804090522;1761.8465625132862;0.9788036458407146;208;464.6962049025267;191;427.25602451263103;0;0;197;7673.381269922252;22;193.4979075338137;616;26696.421791435405;0;0;0;0;4.844893900000001;0.00023221734539969832;0.3079202;1326;0.007073748705882357;3.0063432000000017;425;1.7029003783102135E-06;0.0013503999999999992;793;0.006955876041666664;1.3355281999999995;192;0.006955876041666664;1.3355281999999995;192;2.0866666666666668E-05;6.26E-05;3;0.0002265330994152045;0.19368579999999985;855;;NaN;NaN;NaN;NaN;;NaN;NaN;NaN;NaN;PForO_-6.360189573459715_9.171406003159557_35.43364928909955;-6.360189573459715;9.171406003159557;35.43364928909955;NaN;;NaN;NaN;NaN;NaN;;NaN;NaN;NaN;NaN;;NaN;NaN;NaN;NaN;;NaN;NaN;NaN;NaN;1.091127098321343_-10862.350598501953;NaN;1.091127098321343;NaN;NaN;;NaN;NaN;NaN;NaN;;NaN;NaN;NaN;NaN;;;;;;
LargeScenarioBase;LargeScenarioBase20min;LargeScenarioBase;n.a.;ppFARP2tt;taBA120fft9wcwwm;saAA;isEt0.8;psNt;rpD;obPMy;rbSPdf;mmNC;0;1800;1;20;203;1;5;3.3333333333333335;20;4;0.1;12;1000;200;521;0;0;200;153;109.6774193548387;197.03225806451613;0;866;818;512;866;0;110;0;0;12615.74039090843;630.7870195454215;12247;12985;603.8524140924577;685.8259711432831;20.613954887105276;43.628839515760525;21.21622607970552;612;209;27.589070886847047;0;0;435;0;198;0;1;0;79.2;0;0;0;0;3.4400000000000004;0.617816091954023;0.5008210180623974;0.9688013136288999;0;0;0;0;0;0;0;0;0;0;0;0;147.3515625;4.4757337;0;1732;1800.0000000000002;0.9622222222222221;1636;1024;543.5501783149944;383.05593072120683;201.90769117928596;807.4011111111113;156.37189524884008;121.5247330116133;60.085281374239116;180.45480522425237;0;0;0;0;0;0;0;0;0;0;0;0;-10090.964036670282;-10006.408071396674;-10601.789530802333;-9554.576613778483;0;512;0;0;1024;4.383231166247854;4.35;4.219512195121951;4.578947368421052;2.9048583142100477;2.8947368421052633;2.7804878048780486;2.925;2.5938460686984435;2.55;2.4523809523809526;2.763157894736842;0;0;0;0;0;0;0;0;0.054484023597643684;0.055850773602964046;0.051199298641159775;0.05764113761111327;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;8.4;198;4168.4676336359225;0;0;0;0;215;31066.885288850553;22;209.92194804090522;1761.7676461243238;0.9787598034024021;212;474.4207431383976;196;438.0795382358689;0;0;203;7717.34322515607;22;196.68213562375382;632;26627.149228373295;0;0;0;0;4.665792299999969;0.00019106459854014606;0.2617585000000001;1370;0.006707298160919544;2.9176747000000014;435;1.489361702127657E-06;0.0012599999999999979;846;0.006500435858585855;1.2870862999999992;198;0.006500435858585855;1.2870862999999992;198;5.3E-06;1.59E-05;3;0.0002219635650224215;0.1979915;892;;NaN;NaN;NaN;NaN;;NaN;NaN;NaN;NaN;PForO_-6.181395348837209_8.999612403100778_34.88255813953487;-6.181395348837209;8.999612403100778;34.88255813953487;NaN;;NaN;NaN;NaN;NaN;;NaN;NaN;NaN;NaN;;NaN;NaN;NaN;NaN;;NaN;NaN;NaN;NaN;1.0951219512195123_-10894.312009424792;NaN;1.0951219512195123;NaN;NaN;;NaN;NaN;NaN;NaN;;NaN;NaN;NaN;NaN;;;;;;
LargeScenarioBase;LargeScenarioBase20min;LargeScenarioBase;n.a.;ppFARP2tt;taBA120fft9wcwwm;saAA;isEt0.8;psNt;rpD;obPMy;rbSPdf;mmNC;0;1800;1;20;203;1;5;3.3333333333333335;20;4;0.1;12;1000;200;520;0;0;200;154;109.6774193548387;197.06451612903226;0;865;816;510;865;0;71;0;0;12316.014583959874;615.8007291979936;12099;12777;588.7440486514191;704.0241060618964;20.699184174722475;44.898180144970844;21.233504310957517;595;204;28.18239011275514;0;0;424;0;193;0;1;0;77.2;0;0;0;0;4.24;0.6182266009852218;0.5016420361247947;0.9688013136288999;0;0;0;0;0;0;0;0;0;0;0;0;117.296875;4.7496769;0;1730;1800;0.9611111111111111;1632;1020;504.8018290274493;365.4936147075716;206.64222222222182;708.5047258186853;159.475400346842;130.41564934696999;50.953333333333376;181.24120490252403;0;0;0;0;0;0;0;0;0;0;0;0;-10141.351710970011;-10044.300621024575;-10662.439940562026;-9545.54927570705;0;510;0;0;1020;4.493129715080935;4.5;4.2682926829268295;4.675675675675675;3.0279240729818397;3.0555555555555554;2.8780487804878048;3.1578947368421053;2.650159594768067;2.75;2.4634146341463414;2.763157894736842;0;0;0;0;0;0;0;0;0.054202946947196094;0.05652917266075932;0.04956384477467535;0.05825018444895185;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;8.4;193;4064.9441918419006;0;0;0;0;209;31178.890476149958;22;209.92194804090522;1762.191733399593;0.9789954074442183;207;461.01674607224317;190;423.031197709608;0;0;198;7737.982821218724;22;196.55807353784172;615;26643.567777494354;0;0;0;0;4.989099999999974;0.00021232222222222262;0.2885459000000005;1359;0.007349357783018863;3.116127699999998;424;1.9142512077294688E-06;0.0015850000000000003;828;0.007121122279792747;1.3743766000000002;193;0.007121122279792747;1.3743766000000002;193;5.0999999999999995E-06;1.53E-05;3;0.00023500191657271728;0.20844670000000023;887;;NaN;NaN;NaN;NaN;;NaN;NaN;NaN;NaN;PForO_-6.258373205741627_9.157496012759175_35.35287081339714;-6.258373205741627;9.157496012759175;35.35287081339714;NaN;;NaN;NaN;NaN;NaN;;NaN;NaN;NaN;NaN;;NaN;NaN;NaN;NaN;;NaN;NaN;NaN;NaN;1.13_-10895.749722680754;NaN;1.13;NaN;NaN;;NaN;NaN;NaN;NaN;;NaN;NaN;NaN;NaN;;;;;;
LargeScenario;LargeScenarioPrio20min;LargeScenario;n.a.;ppFARP2tt;taBA120fft9wcwwm;saAA;isEt0.8;psNt;rpD;obPMy;rbSPdf;mmNC;0;1800;1;20;203;1;5;3.3333333333333335;20;4;0.1;12;1000;200;523;0;0;200;149;109.6774193548387;196.38709677419354;0;864;821;519;864;0;79;0;0;13663.318685849325;683.1659342924662;13442;14225;648.9360529955137;627.0687326944724;20.828229704038606;40.75366877637278;21.635719608858377;656;222;29.006338707960076;0;0;464;0;211;0;1;0;84.4;0;0;0;0;4.16;0.6182266009852216;0.5016420361247947;0.9688013136288999;0;0;0;0;0;0;0;0;0;0;0;0;91.34765625;4.9524862;0;1728;1799.9999999999998;0.9600000000000001;1642;1038;521.8235082372555;382.2773160136348;193.80305195909432;743.6798196100968;151.42333680741592;110.815;50.99398268030211;161.5652741813169;0;0;0;0;0;0;0;0;0;0;0;0;-10126.60381803155;-10051.243240490185;-10651.845702167104;-9535.45658775597;0;519;0;0;1038;4.104558372238463;4.069767441860465;4.023255813953488;4.219512195121951;2.666377532469421;2.604651162790698;2.5813953488372094;2.7560975609756095;2.465986784375894;2.511627906976744;2.3255813953488373;2.58974358974359;0;0;0;0;0;0;0;0;0.056227583002023664;0.05727485167312047;0.05269561491779394;0.060775316634107915;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;8.4;213;4467.569242475799;0;0;0;0;230;30705.762330682926;21;208.12463202727014;1758.666578657936;0.9770369881432978;227;506.589624834353;210;469.680000000017;0;0;216;7618.652525175226;21;195.8197042399158;676;26599.11435093649;0;0;0;0;4.978975599999984;0.00023416608946609003;0.3245542000000008;1386;0.006684443534482764;3.101581800000002;464;3.4938195302842916E-06;0.0028264999999999918;809;0.006199679342723004;1.3205316999999999;213;0.006199679342723004;1.3205316999999999;213;0.0017271333333333334;0.0051814;3;0.0002628457209847597;0.2242074;853;;NaN;NaN;NaN;NaN;;NaN;NaN;NaN;NaN;PForO_-5.856521739130435_9.592270531400963_36.420289855072454;-5.856521739130435;9.592270531400963;36.420289855072454;NaN;;NaN;NaN;NaN;NaN;;NaN;NaN;NaN;NaN;;NaN;NaN;NaN;NaN;;NaN;NaN;NaN;NaN;1.0839328537170263_-10940.078741349513;NaN;1.0839328537170263;NaN;NaN;;NaN;NaN;NaN;NaN;;NaN;NaN;NaN;NaN;;;;;;
LargeScenario;LargeScenarioPrio20min;LargeScenario;n.a.;ppFARP2tt;taBA120fft9wcwwm;saAA;isEt0.8;psNt;rpD;obPMy;rbSPdf;mmNC;0;1800;1;20;203;1;5;3.3333333333333335;20;4;0.1;12;1000;200;517;0;0;200;154;109.6774193548387;197.03225806451613;0;865;816;507;865;0;83;0;0;12855.180441233573;642.7590220616787;12460;13326;610.4802968673605;676.0945887563664;20.834976403944204;43.3264805499795;21.41093472319291;617;213;28.068691508063925;0;0;436;0;198;0;1;0;79.2;0;0;0;0;4.64;0.6176108374384237;0.5;0.9688013136288999;0;0;0;0;0;0;0;0;0;0;0;0;129.0390625;4.6793423;0;1730;1800.0000000000002;0.961111111111111;1632;1014;530.8429425252647;376.4912049025272;182.2480591520167;814.7769480409058;154.28922356813536;120.9555555555554;50.64185424949255;171.29924247577173;0;0;0;0;0;0;0;0;0;0;0;0;-10111.467685482665;-10091.673243080037;-10567.069577266502;-9541.600060016384;0;507;0;0;1014;4.384450756349732;4.461538461538462;4.121951219512195;4.605263157894737;2.89850534499309;3.0256410256410255;2.707317073170732;3.1052631578947367;2.5731863949256555;2.6842105263157894;2.4146341463414633;2.7837837837837838;0;0;0;0;0;0;0;0;0.055731134382775493;0.05099033188214363;0.04517674748171272;0.06570202830866217;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;8.4;200;4173.753239541895;0;0;0;0;215;31037.582287241938;21;208.12463202727014;1760.5667763391914;0.978092653521773;215;481.0935859358904;196;437.4882323489911;0;0;203;7686.37437223181;21;195.03139967827207;637;26627.87256861614;0;0;0;0;4.933297699999973;0.00020795144124168477;0.2813582999999995;1353;0.007042639678899082;3.0705908999999996;436;1.5194647201946502E-06;0.0012490000000000025;822;0.006912097499999999;1.3824194999999997;200;0.006912097499999999;1.3824194999999997;200;1.7033333333333335E-05;5.11E-05;3;0.00022794071510957303;0.19762459999999982;867;;NaN;NaN;NaN;NaN;;NaN;NaN;NaN;NaN;PForO_-5.953488372093023_9.230878552971571_35.72984496124031;-5.953488372093023;9.230878552971571;35.72984496124031;NaN;;NaN;NaN;NaN;NaN;;NaN;NaN;NaN;NaN;;NaN;NaN;NaN;NaN;;NaN;NaN;NaN;NaN;1.1007194244604317_-10920.949629161614;NaN;1.1007194244604317;NaN;NaN;;NaN;NaN;NaN;NaN;;NaN;NaN;NaN;NaN;;;;;;
LargeScenario;LargeScenarioPrio20min;LargeScenario;n.a.;ppFARP2tt;taBA120fft9wcwwm;saAA;isEt0.8;psNt;rpD;obPMy;rbSPdf;mmNC;0;1800;1;20;203;1;5;3.3333333333333335;20;4;0.1;12;1000;200;525;0;0;200;158;109.6774193548387;197.4516129032258;0;859;813;511;859;0;116;0;0;13686.576181590302;684.3288090795152;13356;14135;651.1711572331614;621.0395450974763;21.28549950480607;41.71917070099762;22.40223306188483;643;218;29.767230694958677;0;0;455;0;207;0;1;0;82.8;0;0;0;0;4.24;0.619663382594417;0.5032840722495895;0.9688013136288999;0;0;0;0;0;0;0;0;0;0;0;0;147.125;4.8182566;0;1718;1800;0.9544444444444444;1626;1022;513.2132769063677;381.3768614424135;170.83676045808068;745.2728715691915;157.9418738104347;120.57730882071434;52.77713562373265;171.3786147075732;0;0;0;0;0;0;0;0;0;0;0;0;-10064.706060155353;-9978.281301847423;-10502.215752914972;-9524.144587271932;0;511;0;0;1022;4.160828318967854;4.023255813953488;4;4.384615384615385;2.7110234726513793;2.6666666666666665;2.604651162790698;2.7948717948717947;2.4775712659433586;2.395348837209302;2.3095238095238093;2.6666666666666665;0;0;0;0;0;0;0;0;0.06133189040098658;0.061812910856613175;0.053107439533397326;0.06794527443889123;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;8.4;208;4502.358448731523;0;0;0;0;226;30671.685281941067;21;208.12463202727014;1758.7021865336296;0.9770567702964609;222;496.62714281665853;206;460.94008659850317;0;0;212;7557.3508369298;21;192.8588888888783;663;26682.791407466022;0;0;0;0;4.975782499999994;0.00026454063829787263;0.3730023000000004;1410;0.006759937582417585;3.0757716000000013;455;1.9245700245700247E-06;0.0015666000000000002;814;0.006336792307692304;1.3180527999999991;208;0.006336792307692304;1.3180527999999991;208;3.173333333333333E-05;9.52E-05;3;0.0002399155092592592;0.20728699999999994;864;;NaN;NaN;NaN;NaN;;NaN;NaN;NaN;NaN;PForO_-5.871681415929204_9.654867256637171_36.86283185840711;-5.871681415929204;9.654867256637171;36.86283185840711;NaN;;NaN;NaN;NaN;NaN;;NaN;NaN;NaN;NaN;;NaN;NaN;NaN;NaN;;NaN;NaN;NaN;NaN;1.0717703349282297_-10871.513283945573;NaN;1.0717703349282297;NaN;NaN;;NaN;NaN;NaN;NaN;;NaN;NaN;NaN;NaN;;;;;;
LargeScenario;LargeScenarioPrio20min;LargeScenario;n.a.;ppFARP2tt;taBA120fft9wcwwm;saAA;isEt0.8;psNt;rpD;obPMy;rbSPdf;mmNC;0;1800;1;20;203;1;5;3.3333333333333335;20;4;0.1;12;1000;200;520;0;0;200;144;109.6774193548387;196.48387096774192;0;864;813;521;864;0;61;0;0;13113.239153765864;655.6619576882932;12686;13662;627.9207744984453;656.4216136286349;20.42560615851381;41.64418867106258;21.194917218457135;642;219;28.256290858853042;0;0;453;0;208;0;1;0;83.2;0;0;0;0;5.840000000000002;0.6188423645320197;0.5008210180623974;0.9688013136288999;0;0;0;0;0;0;0;0;0;0;0;0;113;4.9922149;0;1728;1800.0000000000002;0.9599999999999999;1626;1042;543.6083650650047;412.766948040905;202.04629869393654;786.661219288369;150.26323037807978;110.75361470757264;51.170000000000186;167.78555555555562;0;0;0;0;0;0;0;0;0;0;0;0;-10126.646299816508;-10030.791961854611;-10635.505883795975;-9562.59469569855;0;521;0;0;1042;4.170943429082964;4.095238095238095;4.023255813953488;4.142857142857143;2.7984607682282094;2.6666666666666665;2.627906976744186;2.8095238095238093;2.5179150307057285;2.4285714285714284;2.3863636363636362;2.4651162790697674;0;0;0;0;0;0;0;0;0.05585616644579221;0.05826117520565778;0.047808886522731256;0.060351399036498846;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;8.4;208;4317.1160970086785;0;0;0;0;224;30895.45243829332;21;208.12463202727014;1760.6284267651001;0.978126903758389;223;498.88725099392417;205;456.9761833237635;0;0;213;7640.319408763238;21;189.73247482474855;662;26643.177849423595;0;0;0;0;5.148565499999993;0.00021229404934687953;0.2925412;1378;0.007263246799116998;3.2902508000000004;453;1.5824780976220258E-06;0.0012643999999999986;799;0.006503329326923071;1.3526924999999987;208;0.006503329326923071;1.3526924999999987;208;5.866666666666667E-06;1.76E-05;3;0.0002545582932692308;0.2117925;832;;NaN;NaN;NaN;NaN;;NaN;NaN;NaN;NaN;PForO_-5.883928571428571_9.36359126984127_35.55059523809525;-5.883928571428571;9.36359126984127;35.55059523809525;NaN;;NaN;NaN;NaN;NaN;;NaN;NaN;NaN;NaN;;NaN;NaN;NaN;NaN;;NaN;NaN;NaN;NaN;1.116222760290557_-10932.462297851589;NaN;1.116222760290557;NaN;NaN;;NaN;NaN;NaN;NaN;;NaN;NaN;NaN;NaN;;;;;;
