#FromID;FromX;FromY;FromIsStorage;FromIsIStation;FromIsOStation;FromIsElevator;ToID;ToX;ToY;ToIsStorage;ToIsIStation;ToIsOStation;ToIsElevator;Count;TravelTimeAvg;TravelTimeVar;TravelTimeMin;TravelTimeMax
12;31.50;3.50;False;False;True;False;132;17.50;1.50;True;False;False;False;1;17.04444444444448;0;17.04444444444448;17.04444444444448
12;31.50;3.50;False;False;True;False;134;19.50;1.50;True;False;False;False;1;17.71435065303058;0;17.71435065303058;17.71435065303058
12;31.50;3.50;False;False;True;False;137;22.50;1.50;True;False;False;False;2;14.70814934696827;0.6633841060369505;14.132222222222026;15.284076471714513
12;31.50;3.50;False;False;True;False;143;14.50;2.50;True;False;False;False;1;16.83888888888896;0;16.83888888888896;16.83888888888896
12;31.50;3.50;False;False;True;False;144;15.50;2.50;True;False;False;False;1;16.203333333333262;0;16.203333333333262;16.203333333333262
12;31.50;3.50;False;False;True;False;146;17.50;2.50;True;False;False;False;2;16.169999999999902;0.2672617283950466;15.804444444444357;16.535555555555447
12;31.50;3.50;False;False;True;False;148;19.50;2.50;True;False;False;False;1;12.971666666666351;0;12.971666666666351;12.971666666666351
12;31.50;3.50;False;False;True;False;149;20.50;2.50;True;False;False;False;3;13.194814814814507;0.5976848231821501;12.692777777777337;14.08509379141286
12;31.50;3.50;False;False;True;False;151;22.50;2.50;True;False;False;False;2;11.403611111111275;0.24681649102134104;11.052316013635277;11.754906208587272
12;31.50;3.50;False;False;True;False;171;14.50;4.50;True;False;False;False;1;16.177683986363945;0;16.177683986363945;16.177683986363945
12;31.50;3.50;False;False;True;False;172;15.50;4.50;True;False;False;False;1;16.169444444444594;0;16.169444444444594;16.169444444444594
12;31.50;3.50;False;False;True;False;173;16.50;4.50;True;False;False;False;1;14.663427124745908;0;14.663427124745908;14.663427124745908
12;31.50;3.50;False;False;True;False;177;20.50;4.50;True;False;False;False;2;12.786666666666605;0.2069388888888416;12.464999999999975;13.108333333333235
12;31.50;3.50;False;False;True;False;179;22.50;4.50;True;False;False;False;1;13.265743138381595;0;13.265743138381595;13.265743138381595
12;31.50;3.50;False;False;True;False;193;22.50;5.50;True;False;False;False;1;15.881111111111125;0;15.881111111111125;15.881111111111125
